
NOTICE: Existing SQLite export found: profiles/gan_profile.sqlite
        It is assumed file was previously exported from: profiles/gan_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/gan_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_gpu_sum.py]... 

 ** CUDA Summary (API/Kernels/MemOps) (cuda_api_gpu_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)    Category                                                 Operation                                              
 --------  ---------------  ---------  ------------  ------------  ----------  -----------  ------------  -----------  ----------------------------------------------------------------------------------------------------
     22.7    2,644,069,648      1,600   1,652,543.5      11,910.0       3,940  169,574,246  13,035,535.4  CUDA_API     cudaMemcpyAsync                                                                                     
     22.4    2,601,898,189        218  11,935,312.8      17,088.0         704  169,461,879  33,552,835.6  MEMORY_OPER  [CUDA memcpy Host-to-Device]                                                                        
     12.5    1,447,880,246      1,163   1,244,952.9       9,610.0       6,511   41,544,955   4,392,234.9  CUDA_API     cudaDeviceSynchronize                                                                               
      7.0      818,864,823     47,701      17,166.6      17,343.0      15,136       19,232         746.4  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
      4.6      530,939,147        156   3,403,456.1       7,970.5       1,990   60,039,481  13,736,251.0  CUDA_API     cudaStreamSynchronize                                                                               
      4.5      517,549,954     49,016      10,558.8       5,260.0         590   25,955,202     268,621.6  CUDA_API     cudaLaunchKernel                                                                                    
      1.6      180,566,071         97   1,861,505.9   1,761,434.0   1,752,634    2,049,113     135,710.1  CUDA_KERNEL  triton_poi_fused__to_copy_cat_87                                                                    
      1.5      179,394,398      1,134     158,196.1      57,008.0      42,240    3,601,429     490,407.5  CUDA_KERNEL  triton_red_fused_convolution_backward_18                                                            
      1.5      179,306,749     24,389       7,352.0       6,291.0         511    2,825,309      24,169.5  CUDA_API     cuLaunchKernel                                                                                      
      1.5      176,058,013      1,334     131,977.5      69,728.0       1,696      799,006     143,110.7  MEMORY_OPER  [CUDA memcpy Device-to-Device]                                                                      
      1.4      157,064,292        598     262,649.3     262,719.0     251,295      266,719       1,559.2  CUDA_KERNEL  triton_red_fused_convolution_backward_5                                                             
      1.3      156,595,204        596     262,743.6     262,911.0     251,167      266,207       1,544.2  CUDA_KERNEL  triton_red_fused_convolution_backward_10                                                            
      1.3      145,918,925     46,933       3,109.1       2,560.0       1,440    1,924,554      15,798.3  CUDA_API     cudaEventRecordWithFlags_v11010                                                                     
      1.2      135,279,381        324     417,529.0     392,639.0     385,727      481,215      35,577.9  CUDA_KERNEL  triton_poi_fused__to_copy_convolution_leaky_relu_leaky_relu_backward_88                             
      1.2      134,472,053        347     387,527.5     361,534.0     360,702      435,422      35,354.1  CUDA_KERNEL  triton_poi_fused_cat_84                                                                             
      1.0      117,143,278        531     220,608.8     217,311.0     214,207      228,799       4,928.5  CUDA_KERNEL  triton_poi_fused_pixel_unshuffle_0                                                                  
      0.9      101,422,263     46,922       2,161.5       1,960.0         400      163,738       1,946.8  CUDA_API     cudaEventQuery                                                                                      
      0.9      100,477,761        121     830,394.7     779,966.0     769,342      954,013      71,037.0  CUDA_KERNEL  triton_poi_fused_leaky_relu_backward_3                                                              
      0.8       97,960,085        637     153,783.5     146,239.0     128,512      188,191      17,265.9  CUDA_KERNEL  triton_red_fused_convolution_backward_85                                                            
