
NOTICE: Existing SQLite export found: profiles/gan_profile.sqlite
        It is assumed file was previously exported from: profiles/gan_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/gan_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)                         Name                      
 --------  ---------------  ---------  ------------  ------------  ----------  -----------  ------------  ------------------------------------------------
     66.5   17,189,801,186      2,595   6,624,200.8      14,510.0       3,000  303,906,971  36,743,009.8  cudaMemcpyAsync                                 
     19.9    5,146,525,714      1,168   4,406,272.0       1,995.5       1,190  123,253,107  22,794,408.5  cudaStreamSynchronize                           
      8.7    2,237,596,584        904   2,475,217.5       9,810.0       5,900   82,428,075   6,845,897.0  cudaDeviceSynchronize                           
      1.8      460,256,095     36,908      12,470.4       5,170.0         600   26,554,862     308,480.9  cudaLaunchKernel                                
      0.4      115,545,091     16,405       7,043.3       6,310.0         540      205,253       4,156.8  cuLaunchKernel                                  
      0.4       92,319,158     31,129       2,965.7       2,450.0       1,330    1,818,617      15,931.4  cudaEventRecordWithFlags_v11010                 
      0.3       87,055,384         17   5,120,904.9     745,081.0       1,620   77,333,410  18,615,501.1  cudaFree                                        
      0.3       73,994,540          1  73,994,540.0  73,994,540.0  73,994,540   73,994,540           0.0  cudaProfilerStop                                
      0.3       66,481,393         94     707,248.9     263,189.0      10,720    9,536,701   1,335,501.5  cudaMalloc                                      
      0.3       65,638,912     31,118       2,109.4       1,910.0         410      237,023       2,347.8  cudaEventQuery                                  
      0.2       57,884,895        352     164,445.7      65,451.0      55,881   24,148,726   1,323,516.5  cuModuleLoad                                    
      0.2       47,925,840         33   1,452,298.2     735,191.0      17,541    4,731,840   1,650,253.6  cuLibraryLoadData                               
      0.2       47,832,679     31,131       1,536.5       1,430.0         860      173,883       1,795.1  cudaEventCreateWithFlags                        
      0.1       33,755,359         26   1,298,283.0      35,426.0       2,600   32,936,476   6,453,005.0  cuLaunchKernelEx                                
