
NOTICE: Existing SQLite export found: gan_profile.sqlite
        It is assumed file was previously exported from: gan_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [gan_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_gpu_sum.py]... 

 ** CUDA Summary (API/Kernels/MemOps) (cuda_api_gpu_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)      Min (ns)      Max (ns)      StdDev (ns)    Category                                                 Operation                                              
 --------  ---------------  ---------  -------------  -------------  -----------  -------------  -------------  -----------  ----------------------------------------------------------------------------------------------------
     69.5   20,668,606,383         73  283,131,594.3    8,536,955.0        6,970  2,324,223,337  593,478,348.1  CUDA_API     cudaHostAlloc                                                                                       
     12.0    3,554,305,096        156   22,784,007.0        8,005.5        2,880    358,481,020   87,275,396.0  CUDA_API     cudaStreamSynchronize                                                                               
     10.1    2,994,149,016        228   13,132,232.5       21,903.5          704    168,381,679   38,094,262.8  MEMORY_OPER  [CUDA memcpy Host-to-Device]                                                                        
      1.8      548,184,622      5,896       92,975.7        6,185.5        2,870    207,565,241    2,882,851.7  CUDA_API     cudaLaunchKernel                                                                                    
      0.8      225,727,026          2  112,863,513.0  112,863,513.0      187,390    225,539,636  159,348,101.3  CUDA_API     cuModuleLoadData                                                                                    
      0.4      118,435,472        550      215,337.2       23,744.0        2,336      1,382,716      362,482.2  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.4      110,777,649          1  110,777,649.0  110,777,649.0  110,777,649    110,777,649            0.0  CUDA_API     cudaProfilerStop                                                                                    
      0.4      105,959,268        418      253,491.1       21,536.0        2,464      1,271,581      424,471.0  CUDA_KERNEL  void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKern…
      0.3       86,943,025         33    2,634,637.1    1,555,933.0      415,519      5,977,202    2,410,237.8  CUDA_KERNEL  sm80_xmma_wgrad_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage4_war…
      0.3       83,346,013        352      236,778.4       23,456.0        2,112      1,558,813      450,791.3  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::leaky_relu_backward_k…
      0.3       76,885,497        748      102,788.1       13,600.0        2,304      1,071,805      257,228.6  CUDA_KERNEL  void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, (bool)1, (bool)0, (cudnnKern…
      0.3       75,398,270      1,287       58,584.5       16,224.0        2,784      1,257,629      166,250.2  CUDA_KERNEL  void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKern…
      0.2       70,858,104        176      402,602.9      188,671.5        3,232      1,515,996      412,624.3  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.2       67,765,215        462      146,678.0       10,752.0        1,600      1,066,717      281,667.0  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::leaky_relu_kernel(at:…
      0.2       64,665,860         11    5,878,714.5    5,864,018.0    5,816,178      5,934,865       36,643.6  CUDA_KERNEL  sm80_xmma_wgrad_implicit_gemm_indexed_wo_smem_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize16x64x64_st…
      0.2       59,264,083         11    5,387,643.9    5,385,971.0    5,347,282      5,429,812       31,587.6  CUDA_KERNEL  void wgrad_alg0_engine<float, (int)128, (int)5, (int)5, (int)3, (int)3, (int)3, (bool)0, (int)512>(…
      0.2       57,616,471         11    5,237,861.0    5,253,075.0    5,215,475      5,255,187       18,864.7  CUDA_KERNEL  sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize256x64x8_stage3_warpsize2x2x1…
      0.2       53,414,943        121      441,445.8       56,032.0       11,808      2,388,826      692,963.5  CUDA_KERNEL  void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(…
      0.2       50,509,349        473      106,785.1       31,839.0       10,464        604,223      155,993.8  CUDA_KERNEL  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.1       41,553,497         55      755,518.1      331,359.0      271,711      2,074,587      688,748.7  CUDA_KERNEL  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x64_16x4_nt_align4>(T1::Params)              
      0.1       41,532,299         72      576,837.5      361,633.0       10,210      2,093,464      466,221.8  CUDA_API     cudaMalloc                                                                                          
      0.1       37,854,697         12    3,154,558.1          690.5          390     32,668,288    9,412,740.8  CUDA_API     cudaEventCreateWithFlags                                                                            
      0.1       27,587,070         55      501,583.1      585,023.0      155,232        599,647      174,369.9  CUDA_KERNEL  sm90_xmma_wgrad_indexed_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize64x64x32_warpgroupsi…
      0.1       26,520,579        132      200,913.5       72,656.0        9,856        689,247      251,923.4  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1       25,950,821         44      589,791.4      268,096.0      204,864      1,620,764      600,704.6  CUDA_KERNEL  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4>(T1::Params)              
      0.1       25,827,359      1,463       17,653.7        4,990.0        3,030      8,993,779      264,469.0  CUDA_API     cudaLaunchKernelExC_v11060                                                                          
      0.1       22,993,033         11    2,090,275.7    2,090,907.0    2,083,131      2,092,923        2,805.4  CUDA_KERNEL  sm90_xmma_dgrad_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x32x32_warpgroupsize1x1x1…
      0.1       22,757,739         11    2,068,885.4    2,069,691.0    2,059,995      2,070,811        3,024.7  CUDA_KERNEL  sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x32x32_warpgroupsize1x1x1…
      0.1       22,445,451         11    2,040,495.5    2,045,596.0    2,030,619      2,046,363        7,509.4  CUDA_KERNEL  sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x32x8_stage3_warpsize2x2x1…
      0.1       22,077,515         11    2,007,046.8    2,001,179.0    1,979,739      2,040,988       17,954.1  CUDA_KERNEL  sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x16x64_s…
      0.1       21,892,427         55      398,044.1      165,215.0       38,271      1,274,013      461,279.3  CUDA_KERNEL  sm90_xmma_dgrad_implicit_gemm_indexed_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x64x32_warpgroups…
      0.1       21,689,261         22      985,875.5      979,950.0      313,568      1,684,348      684,976.3  CUDA_KERNEL  sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize64x128x32_warpgroupsize1x1x1_execute_segment_k_off_k…
      0.1       19,772,274         11    1,797,479.5    1,795,803.0    1,789,756      1,806,588        6,518.4  CUDA_KERNEL  void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s1688dgrad_optimized_tf32_256x64_16x4_nhwc_unity_st…
      0.1       18,033,111        110      163,937.4       27,552.0       15,456        860,733      248,655.1  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1       17,523,534          4    4,380,883.5    5,294,854.5    1,178,228      5,755,597    2,146,134.6  CUDA_API     cuLibraryLoadData                                                                                   
      0.1       16,300,082         35      465,716.6       41,912.0       16,281      2,258,863      756,158.9  CUDA_API     cuLibraryUnload                                                                                     
      0.0       13,953,796         55      253,705.4      292,351.0       96,928        295,327       78,280.3  CUDA_KERNEL  sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x64x32_warpgroupsize1x1x1…
      0.0       13,133,951         22      596,997.8      596,270.5      366,623        827,454      234,417.1  CUDA_KERNEL  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x3_tn_align4>(T1::Params)              
      0.0       13,060,384         44      296,826.9      296,687.5      293,119        301,119        2,041.4  CUDA_KERNEL  sm90_xmma_dgrad_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x64x32_warpgroupsize1x1x1…
      0.0       12,647,491          5    2,529,498.2    2,534,156.0    2,023,561      3,033,042      411,479.2  CUDA_API     cudaGetDeviceProperties_v2_v12000                                                                   
      0.0        9,720,746        154       63,121.7       67,360.0       29,760         97,536       22,355.0  CUDA_KERNEL  void cudnn::cnn::reduce_wgrad_nchw_helper<float, float>(void *, const void *, T1, int, int)         
      0.0        9,281,609         11      843,782.6      843,870.0      842,046        846,238        1,214.6  CUDA_KERNEL  sm90_xmma_gemm_f32f32_tf32f32_f32_nn_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_k_off_…
      0.0        9,122,346         44      207,326.0      206,975.0      205,248        211,136        1,283.3  CUDA_KERNEL  sm90_xmma_wgrad_indexed_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x64x32_warpgroups…
      0.0        8,789,515         33      266,348.9      189,824.0       24,000        586,110      238,763.1  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
      0.0        7,437,198         22      338,054.5      334,511.5      331,359        348,671        6,570.4  CUDA_KERNEL  sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage5_warpsize2x…
      0.0        6,789,969         99       68,585.5       94,144.0       34,272         95,840       29,408.7  CUDA_KERNEL  sm90_xmma_wgrad_indexed_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroup…
      0.0        6,521,552        275       23,714.7        1,340.0          349      5,299,274      319,734.3  CUDA_API     cuKernelGetFunction                                                                                 
      0.0        6,456,401         11      586,945.5      587,039.0      585,631        588,991        1,035.7  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      0.0        6,240,449        276       22,610.3        8,135.5        3,991        580,939       53,130.5  CUDA_API     cudaMemcpyAsync                                                                                     
      0.0        6,049,265         22      274,966.6      276,047.0      239,872        308,928       33,022.0  CUDA_KERNEL  sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize64x64x32_warpgroupsize1x1x1_execute_segment_k_off_ke…
      0.0        5,987,326        862        6,945.9        5,625.0        2,300         74,564        5,126.3  CUDA_API     cudaMemsetAsync                                                                                     
      0.0        5,559,091        110       50,537.2       45,616.0       28,192         74,271       12,851.5  CUDA_KERNEL  sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x…
      0.0        4,839,475         88       54,994.0       12,703.5        5,600        266,335       84,558.1  CUDA_KERNEL  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapp…
      0.0        4,747,250         33      143,856.1      145,055.0       99,999        186,815       34,726.8  CUDA_KERNEL  sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_k_off_…
      0.0        4,394,037         11      399,457.9      399,583.0      397,535        400,543          894.7  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sign_kernel_cuda(at::TensorItera…
      0.0        4,374,773         11      397,706.6      397,535.0      396,991        398,879          608.7  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<ch…
      0.0        4,043,098         44       91,888.6       92,511.5       66,368         94,240        3,990.5  CUDA_KERNEL  sm90_xmma_dgrad_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x…
      0.0        3,932,537         11      357,503.4      357,375.0      356,287        359,168          824.9  CUDA_KERNEL  sm90_xmma_gemm_f32f32_tf32f32_f32_nn_n_tilesize64x256x32_warpgroupsize1x1x1_execute_segment_k_off_k…
      0.0        3,921,208         11      356,473.5      356,479.0      356,383        356,639           65.2  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0        3,294,936         11      299,539.6      299,551.0      297,759        301,056        1,054.8  CUDA_KERNEL  sm90_xmma_gemm_f32f32_tf32f32_f32_nt_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_k_off_…
      0.0        3,090,460         55       56,190.2       56,160.0       55,264         57,056          425.7  CUDA_KERNEL  sm90_xmma_dgrad_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x128x32_warpgroupsize2x1x…
      0.0        2,939,245         32       91,851.4       15,701.0       10,241        675,943      160,629.1  CUDA_API     cudaStreamCreateWithFlags                                                                           
      0.0        2,809,742        275       10,217.2        8,950.0        4,810         51,153        5,351.8  CUDA_API     cuLaunchKernel                                                                                      
      0.0        2,728,502         55       49,609.1       48,544.0       23,680         75,008       17,803.4  CUDA_KERNEL  sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage4_warpsize2…
      0.0        2,621,752         33       79,447.0       65,055.0       60,607        112,735       23,538.5  CUDA_KERNEL  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x3_nt_align4>(T1::Params)              
      0.0        2,470,138         11      224,558.0      224,384.0      222,751        227,167        1,424.4  CUDA_KERNEL  void cutlass__5x_cudnn::Kernel<cutlass__5x_cudnn::conv::kernel::ImplicitGemmConvolution<cutlass__5x…
      0.0        2,404,314         11      218,574.0      218,495.0      217,408        219,935          715.7  CUDA_KERNEL  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.0        1,847,896         33       55,996.8       49,152.0       46,655         70,816       10,292.8  CUDA_KERNEL  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align4>(T1::Params)              
      0.0        1,665,468         11      151,406.2      151,391.0      150,208        153,151          891.0  CUDA_KERNEL  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_32x3_tn_align4>(T1::Params)             
      0.0        1,638,972         11      148,997.5      148,928.0      148,064        150,368          710.0  CUDA_KERNEL  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x4_nn_align4>(T1::Params)             
      0.0        1,470,586        862        1,706.0        1,184.0          704          9,024        1,546.6  MEMORY_OPER  [CUDA memset]                                                                                       
      0.0        1,289,948         22       58,634.0       58,672.0       46,336         71,264       12,158.7  CUDA_KERNEL  void cutlass__5x_cudnn::Kernel<cutlass__5x_cudnn::conv::kernel::ImplicitGemmConvolution<cutlass__5x…
      0.0        1,281,563         44       29,126.4       28,688.0       23,263         36,064        4,522.3  CUDA_KERNEL  sm90_xmma_dgrad_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x…
      0.0        1,092,036         14       78,002.6       13,865.5        1,140        930,787      245,602.7  CUDA_API     cuLibraryGetKernel                                                                                  
      0.0        1,041,247        209        4,982.0        5,120.0        3,296          6,336          690.4  CUDA_KERNEL  void cask_plugin__5x_cudnn::xmma__5x_cudnn::init_device_workspace_kernel<xmma__5x_cudnn::implicit_g…
      0.0          976,830         11       88,802.7       88,800.0       87,903         89,440          446.8  CUDA_KERNEL  sm80_xmma_wgrad_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage4_war…
      0.0          923,356         11       83,941.5       83,999.0       82,496         85,344          931.2  CUDA_KERNEL  void cutlass__5x_cudnn::Kernel<cutlass__5x_cudnn::conv::kernel::ImplicitGemmConvolution<cutlass__5x…
      0.0          836,894         11       76,081.3       75,936.0       75,359         77,312          618.6  CUDA_KERNEL  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x256_16x4_nt_align4>(T1::Params)              
      0.0          758,622        153        4,958.3        2,580.0        1,280         28,862        5,332.5  CUDA_API     cudaEventQuery                                                                                      
      0.0          707,456         11       64,314.2       64,128.0       63,904         65,088          393.4  CUDA_KERNEL  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_nt_align4>(T1::Params)               
      0.0          665,632         11       60,512.0       60,672.0       59,648         61,248          556.3  CUDA_KERNEL  sm90_xmma_wgrad_indexed_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x64x32_warpgroups…
