
NOTICE: Existing SQLite export found: gan_profile.sqlite
        It is assumed file was previously exported from: gan_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [gan_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_gpu_sum.py]... 

 ** CUDA Summary (API/Kernels/MemOps) (cuda_api_gpu_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)    Category                                                 Operation                                              
 --------  ---------------  ---------  ------------  ------------  ----------  -----------  ------------  -----------  ----------------------------------------------------------------------------------------------------
     38.6    5,033,417,024        276  18,237,018.2      37,561.5       4,271  297,575,948  58,439,668.6  CUDA_API     cudaMemcpyAsync                                                                                     
     38.5    5,022,028,357        228  22,026,440.2      21,920.0         736  297,475,539  63,641,722.8  MEMORY_OPER  [CUDA memcpy Host-to-Device]                                                                        
      8.6    1,116,250,268        156   7,155,450.4       7,865.0       1,810  111,854,505  27,360,897.0  CUDA_API     cudaStreamSynchronize                                                                               
      2.1      273,191,660      5,896      46,335.1       5,760.0       2,901   25,796,170     701,628.3  CUDA_API     cudaLaunchKernel                                                                                    
      0.9      118,477,802        550     215,414.2      23,823.5       2,368    1,382,901     362,592.0  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.8      105,968,262        418     253,512.6      21,423.5       2,496    1,272,055     424,587.3  CUDA_KERNEL  void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKern…
      0.7       87,189,396         33   2,642,102.9   1,555,925.0     414,621    5,976,116   2,419,274.6  CUDA_KERNEL  sm80_xmma_wgrad_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage4_war…
      0.6       83,354,696        352     236,803.1      23,520.0       2,016    1,560,724     450,844.8  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::leaky_relu_backward_k…
      0.6       76,878,621        748     102,778.9      13,552.0       2,272    1,070,681     257,146.8  CUDA_KERNEL  void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, (bool)1, (bool)0, (cudnnKern…
      0.6       75,349,093      1,287      58,546.3      16,256.0       2,847    1,258,327     166,144.2  CUDA_KERNEL  void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKern…
      0.5       70,937,891        176     403,056.2     188,367.0       3,168    1,512,052     412,886.1  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.5       67,764,800        462     146,677.1      10,799.5       1,536    1,067,289     281,656.0  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::leaky_relu_kernel(at:…
      0.5       65,066,381         11   5,915,125.5   5,914,710.0   5,800,983    6,015,509      57,991.6  CUDA_KERNEL  sm80_xmma_wgrad_implicit_gemm_indexed_wo_smem_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize16x64x64_st…
