
NOTICE: Existing SQLite export found: profiles/gan_profile.sqlite
        It is assumed file was previously exported from: profiles/gan_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/gan_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_gpu_sum.py]... 

 ** CUDA Summary (API/Kernels/MemOps) (cuda_api_gpu_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)    Category                                                 Operation                                              
 --------  ---------------  ---------  ------------  ------------  ----------  ----------  ------------  -----------  ----------------------------------------------------------------------------------------------------
     16.8    3,283,408,968      3,988     823,322.2       9,210.0       5,730  44,249,876   3,709,244.5  CUDA_API     cudaDeviceSynchronize                                                                               
     16.7    3,274,244,507    190,965      17,145.8      17,184.0      14,880      19,360         545.0  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
     10.3    2,020,799,588      7,193     280,939.7      12,010.0       3,500  88,040,891   4,075,696.1  CUDA_API     cudaMemcpyAsync                                                                                     
      9.8    1,926,774,526        228   8,450,765.5      21,919.0         704  87,948,594  21,357,376.3  MEMORY_OPER  [CUDA memcpy Host-to-Device]                                                                        
      5.5    1,083,693,132    192,354       5,633.8       5,161.0         960  12,263,087      64,953.7  CUDA_API     cudaLaunchKernel                                                                                    
      3.3      643,287,629     96,833       6,643.3       5,970.0         660     247,682       3,366.8  CUDA_API     cuLaunchKernel                                                                                      
      3.1      597,286,643        156   3,828,760.5       8,165.5       1,871  66,481,760  15,457,436.8  CUDA_API     cudaStreamSynchronize                                                                               
      2.8      547,053,024    190,445       2,872.5       2,520.0       1,240  12,380,512      32,453.0  CUDA_API     cudaEventRecordWithFlags_v11010                                                                     
      2.3      457,153,498      6,917      66,091.3      65,856.0       1,184     532,926     101,413.3  MEMORY_OPER  [CUDA memcpy Device-to-Device]                                                                      
      2.0      400,707,334    190,434       2,104.2       1,970.0         390     409,689       1,966.0  CUDA_API     cudaEventQuery                                                                                      
      1.6      317,376,810      1,085     292,513.2     277,375.0     259,039     422,654      42,585.3  CUDA_KERNEL  triton_red_fused_convolution_backward_5                                                             
      1.5      285,010,513    190,447       1,496.5       1,320.0         851     569,068       3,287.1  CUDA_API     cudaEventCreateWithFlags                                                                            
      1.4      280,472,553         51   5,499,461.8   5,482,152.0   5,452,231   5,589,159      49,132.5  CUDA_KERNEL  triton_poi_fused__to_copy_cat_convolution_50                                                        
      1.1      213,221,117      1,485     143,583.2     141,759.0     136,704     165,023       5,945.8  CUDA_KERNEL  triton_red_fused_convolution_backward_91                                                            
      1.0      203,945,323        290     703,259.7     660,493.5     624,126   1,085,724     125,442.0  CUDA_KERNEL  triton_red_fused_leaky_relu_leaky_relu_backward_mul_sum_87                                          
      1.0      199,574,257        298     669,712.3     675,822.0     622,398     692,222      13,202.5  CUDA_KERNEL  triton_red_fused_leaky_relu_mul_sum_88                                                              
      1.0      189,508,624      1,130     167,706.7      63,968.0      56,043  11,631,556     956,742.3  CUDA_API     cuModuleLoad                                                                                        
      0.9      185,363,897        621     298,492.6     286,206.0     277,727     381,534      30,401.7  CUDA_KERNEL  triton_poi_fused_pixel_shuffle_86                                                                   
