
NOTICE: Existing SQLite export found: gan_profile.sqlite
        It is assumed file was previously exported from: gan_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [gan_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_gpu_sum.py]... 

 ** CUDA Summary (API/Kernels/MemOps) (cuda_api_gpu_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)       Med (ns)     Min (ns)     Max (ns)      StdDev (ns)    Category                                                 Operation                                              
 --------  ---------------  ---------  -------------  -------------  ---------  -------------  -------------  -----------  ----------------------------------------------------------------------------------------------------
     31.4    3,597,572,779        156   23,061,364.0        8,040.0      1,730    359,911,013   88,334,132.3  CUDA_API     cudaStreamSynchronize                                                                               
     26.1    2,993,984,184        228   13,131,509.6       21,904.0        704    168,247,335   38,091,326.4  MEMORY_OPER  [CUDA memcpy Host-to-Device]                                                                        
     25.6    2,936,324,748         13  225,871,134.5    4,584,754.0     10,391  2,010,122,590  555,507,312.1  CUDA_API     cudaHostAlloc                                                                                       
      2.0      226,062,236          2  113,031,118.0  113,031,118.0    160,889    225,901,347  159,622,608.6  CUDA_API     cuModuleLoadData                                                                                    
      1.3      150,537,328      5,896       25,532.1        5,740.0      2,910     11,859,873      345,436.3  CUDA_API     cudaLaunchKernel                                                                                    
      1.0      118,393,139        550      215,260.3       23,936.0      2,368      1,382,941      362,363.3  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.9      105,980,099        418      253,540.9       21,728.0      2,560      1,271,485      424,548.4  CUDA_KERNEL  void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKern…
      0.8       87,076,418         33    2,638,679.3    1,565,916.0    415,423      5,964,692    2,413,633.9  CUDA_KERNEL  sm80_xmma_wgrad_implicit_gemm_indexed_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage4_war…
      0.7       83,330,953        352      236,735.7       23,568.0      2,112      1,559,101      450,633.2  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::leaky_relu_backward_k…
      0.7       76,916,896        748      102,830.1       13,520.0      2,272      1,070,973      257,248.0  CUDA_KERNEL  void cudnn::engines_precompiled::nhwcToNchwKernel<float, float, float, (bool)1, (bool)0, (cudnnKern…
      0.7       75,384,792      1,287       58,574.0       16,256.0      2,816      1,254,461      166,201.2  CUDA_KERNEL  void cudnn::engines_precompiled::nchwToNhwcKernel<float, float, float, (bool)0, (bool)1, (cudnnKern…
      0.6       70,856,716        176      402,595.0      187,631.5      3,232      1,513,853      412,565.0  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.6       67,759,462        462      146,665.5       10,752.0      1,504      1,066,718      281,667.8  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::leaky_relu_kernel(at:…
      0.6       64,648,884         11    5,877,171.3    5,865,780.0  5,828,276      5,975,539       42,781.8  CUDA_KERNEL  sm80_xmma_wgrad_implicit_gemm_indexed_wo_smem_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize16x64x64_st…
      0.5       59,537,343         11    5,412,485.7    5,426,740.0  5,347,253      5,466,132       32,095.9  CUDA_KERNEL  void wgrad_alg0_engine<float, (int)128, (int)5, (int)5, (int)3, (int)3, (int)3, (bool)0, (int)512>(…
      0.5       57,580,038         11    5,234,548.9    5,218,901.0  5,217,044      5,256,564       18,873.7  CUDA_KERNEL  sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize256x64x8_stage3_warpsize2x2x1…
      0.5       53,357,804        121      440,973.6       56,000.0     11,840      2,378,970      691,845.2  CUDA_KERNEL  void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(…
      0.4       50,544,892        473      106,860.2       31,360.0     10,496        604,478      156,156.4  CUDA_KERNEL  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.4       41,541,706         55      755,303.7      331,679.0    272,159      2,072,892      688,139.2  CUDA_KERNEL  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x64_16x4_nt_align4>(T1::Params)              
      0.4       40,472,159         72      562,113.3      313,935.5     17,701      3,065,726      556,792.1  CUDA_API     cudaMalloc                                                                                          
      0.2       27,664,452         55      502,990.0      588,703.0    154,879        597,375      174,692.2  CUDA_KERNEL  sm90_xmma_wgrad_indexed_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize64x64x32_warpgroupsi…
      0.2       26,555,433        132      201,177.5       72,944.0      9,824        690,015      252,216.9  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.2       25,956,015         44      589,909.4      267,919.5    204,320      1,621,020      600,669.5  CUDA_KERNEL  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4>(T1::Params)              
      0.2       24,143,728      1,463       16,502.9        4,560.0      3,060     10,255,213      291,165.8  CUDA_API     cudaLaunchKernelExC_v11060                                                                          
      0.2       22,936,079         11    2,085,098.1    2,084,507.0  2,080,572      2,094,971        3,728.2  CUDA_KERNEL  sm90_xmma_dgrad_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x32x32_warpgroupsize1x1x1…
      0.2       22,747,249         11    2,067,931.7    2,067,420.0  2,065,692      2,069,980        1,257.7  CUDA_KERNEL  sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x32x32_warpgroupsize1x1x1…
      0.2       22,418,414         11    2,038,037.6    2,032,156.0  2,030,780      2,046,363        7,825.5  CUDA_KERNEL  sm80_xmma_fprop_implicit_gemm_f32f32_f32f32_f32_nchwkcrs_nchw_tilesize128x32x8_stage3_warpsize2x2x1…
      0.2       21,963,058         11    1,996,641.6    1,993,148.0  1,975,100      2,024,636       15,118.0  CUDA_KERNEL  sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x16x64_s…
      0.2       21,933,109         55      398,783.8      166,816.0     38,464      1,277,694      462,644.5  CUDA_KERNEL  sm90_xmma_dgrad_implicit_gemm_indexed_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x64x32_warpgroups…
      0.2       21,687,377         22      985,789.9      978,542.5    309,855      1,681,596      686,121.5  CUDA_KERNEL  sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize64x128x32_warpgroupsize1x1x1_execute_segment_k_off_k…
      0.2       19,740,660         11    1,794,605.5    1,791,292.0  1,781,756      1,808,028        9,048.9  CUDA_KERNEL  void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s1688dgrad_optimized_tf32_256x64_16x4_nhwc_unity_st…
      0.2       18,049,498        110      164,086.3       27,631.5     15,392        861,022      248,933.9  CUDA_KERNEL  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.1       13,930,233         55      253,277.0      292,000.0     95,616        294,719       78,426.3  CUDA_KERNEL  sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x64x32_warpgroupsize1x1x1…
      0.1       13,166,820         22      598,491.8      597,502.5    366,719        832,766      235,460.6  CUDA_KERNEL  void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x3_tn_align4>(T1::Params)              
      0.1       13,081,768         44      297,312.9      296,880.0    292,735        303,040        2,114.4  CUDA_KERNEL  sm90_xmma_dgrad_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x64x32_warpgroupsize1x1x1…
      0.1       12,506,447          5    2,501,289.4    2,387,441.0  2,111,778      3,065,896      416,468.6  CUDA_API     cudaGetDeviceProperties_v2_v12000                                                                   
      0.1        9,722,285          1    9,722,285.0    9,722,285.0  9,722,285      9,722,285            0.0  CUDA_API     cudaProfilerStop                                                                                    
      0.1        9,716,715        154       63,095.6       66,448.0     29,792         96,992       22,225.7  CUDA_KERNEL  void cudnn::cnn::reduce_wgrad_nchw_helper<float, float>(void *, const void *, T1, int, int)         
      0.1        9,286,349         11      844,213.5      844,158.0    842,046        847,038        1,766.0  CUDA_KERNEL  sm90_xmma_gemm_f32f32_tf32f32_f32_nn_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_k_off_…
      0.1        9,154,826         44      208,064.2      207,440.0    204,736        210,559        1,559.5  CUDA_KERNEL  sm90_xmma_wgrad_indexed_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize256x64x32_warpgroups…
      0.1        8,789,611         33      266,351.8      189,727.0     24,096        585,726      238,738.2  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
      0.1        7,448,973         22      338,589.7      337,951.0    330,207        350,623        6,664.8  CUDA_KERNEL  sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x64x32_stage5_warpsize2x…
      0.1        6,817,233         99       68,860.9       94,368.0     34,304         96,032       29,500.0  CUDA_KERNEL  sm90_xmma_wgrad_indexed_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroup…
      0.1        6,458,830         11      587,166.4      587,423.0    585,150        588,606          962.3  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      0.1        6,054,963         22      275,225.6      277,055.5    238,367        308,159       32,615.6  CUDA_KERNEL  sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize64x64x32_warpgroupsize1x1x1_execute_segment_k_off_ke…
      0.1        5,743,411         35      164,097.5       39,062.0     19,631        583,740      191,556.2  CUDA_API     cuLibraryUnload                                                                                     
      0.0        5,617,078        110       51,064.3       44,528.0     28,064         75,296       13,849.3  CUDA_KERNEL  sm90_xmma_fprop_implicit_gemm_f32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x1x…
      0.0        5,471,634        862        6,347.6        5,480.0      2,420         38,532        3,698.5  CUDA_API     cudaMemsetAsync                                                                                     
      0.0        5,034,270        276       18,240.1        7,015.5      3,730        639,482       46,442.0  CUDA_API     cudaMemcpyAsync                                                                                     
      0.0        4,834,324         88       54,935.5       12,735.5      5,663        264,927       84,311.4  CUDA_KERNEL  void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapp…
      0.0        4,746,291         33      143,827.0      145,312.0     97,727        186,911       34,913.1  CUDA_KERNEL  sm90_xmma_gemm_f32f32_tf32f32_f32_tn_n_tilesize128x128x32_warpgroupsize1x1x1_execute_segment_k_off_…
      0.0        4,392,794         11      399,344.9      399,488.0    398,495        400,224          473.1  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sign_kernel_cuda(at::TensorItera…
      0.0        4,375,129         11      397,739.0      397,920.0    395,999        398,271          641.9  CUDA_KERNEL  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<ch…
